player_id,player_name,team_abbr,games,avg_minutes,total_minutes,avg_speed,top_speed,total_miles,total_hi_15,total_hi_18,total_hi_20,hi_dist_15_per_36,hi_dist_18_per_36,hi_dist_20_per_36,fatigue_games,avg_q1_speed,avg_q4_speed,avg_q1_hi_15,avg_q4_hi_15,avg_q1_hi_18,avg_q4_hi_18,avg_q1_hi_20,avg_q4_hi_20,fatigue_pct_15,fatigue_pct_18,fatigue_pct_20,speed_fatigue_pct
2419,Tayshaun Prince,MIN,44,19.527666666666665,859.2173333333333,6.089431818181819,34.751,58.976,7.993,2.222,0.659,0.33489547852076235,0.09309868050458324,0.027611174821116278,19.0,6.054631578947368,6.027368421052631,0.056210526315789475,0.04594736842105263,0.014789473684210528,0.01073684210526316,0.004157894736842105,0.002631578947368421,18.258426966292134,27.40213523131672,36.708860759493675,0.45028599245466777
2440,Matt Barnes,MEM,40,25.67765,1027.106,6.443524999999999,34.403,74.829,10.983,3.464,1.277,0.3849534517372111,0.12141297977034503,0.04475876881256657,36.0,6.594916666666666,6.262194444444444,0.06530555555555556,0.06561111111111112,0.019527777777777776,0.016888888888888887,0.006,0.0055000000000000005,-0.4678860059549179,13.513513513513514,8.333333333333325,5.045131561766851
2446,Rasual Butler,SAS,26,8.551512820512821,222.33933333333334,6.254730769230769,34.454,15.868,2.567,0.806,0.331,0.41563496037588193,0.13050322480053012,0.05359375609054028,,,,,,,,,,,,,
2449,Luis Scola,TOR,42,22.596372093023255,971.644,6.473046511627907,34.281,70.904,11.47,3.9,1.109,0.4249704624327429,0.14449736734853505,0.04108912317680138,23.0,6.591521739130434,6.064869565217391,0.09834782608695652,0.03839130434782609,0.03152173913043478,0.01191304347826087,0.007869565217391305,0.002391304347826087,60.96374889478338,62.206896551724135,69.61325966850829,7.989842023679958
2544,LeBron James,CLE,37,32.12437837837838,1188.602,5.82018918918919,34.966,78.354,10.282,3.537,1.5859999999999999,0.31141795150942025,0.10712753301778054,0.048036264451851836,30.0,6.069100000000001,5.603633333333334,0.08223333333333334,0.06063333333333333,0.029366666666666666,0.019933333333333334,0.0127,0.0096,26.266720713417115,32.12258796821793,24.40944881889764,7.669451264053433
2546,Carmelo Anthony,NYK,42,33.214111111111116,1394.9926666666668,5.772214285714286,34.918,90.607,8.236,1.154,0.251,0.21254305279502067,0.02978080171508667,0.006477453405967726,36.0,6.032638888888889,5.3638055555555555,0.07127777777777777,0.0275,0.009333333333333334,0.004777777777777778,0.0017222222222222222,0.0010833333333333333,61.418550272798136,48.80952380952381,37.096774193548384,11.08691147691954
2547,Chris Bosh,MIA,42,32.00819047619048,1344.344,5.722738095238095,34.989,86.709,8.411,1.627,0.413,0.2252369929125283,0.043569205500972964,0.011059669251322578,41.0,5.920829268292683,5.457682926829268,0.060292682926829266,0.039365853658536586,0.011341463414634146,0.00870731707317073,0.002682926829268293,0.0024146341463414634,34.70873786407766,23.22580645161291,10.000000000000007,7.822322186246164
2548,Dwyane Wade,MIA,39,28.61557264957265,1116.0073333333332,6.035461538461539,34.968,75.937,6.931,1.942,0.803,0.22357917600302507,0.06264474964620902,0.025903055595214133,30.0,6.2767333333333335,5.771433333333333,0.0566,0.034833333333333334,0.014633333333333333,0.010733333333333334,0.0057,0.0057333333333333325,38.45700824499411,26.651480637813208,-0.5847953216374081,8.050365901583627
2550,Kirk Hinrich,CHI,26,14.613102564102565,379.9406666666667,6.740961538461538,34.979,29.003999999999998,3.702,1.004,0.346,0.35077055891183007,0.09513064320569352,0.03278406628403382,17.0,6.944588235294117,6.429117647058824,0.04411764705882353,0.03947058823529412,0.011294117647058824,0.010529411764705883,0.004,0.0036470588235294117,10.533333333333337,6.7708333333333375,8.82352941176471,7.422622778634215
2555,Nick Collison,OKC,38,12.024315789473684,456.924,6.262447368421053,34.801,31.974,4.881,1.176,0.349,0.38456285946897084,0.09265435827402368,0.027496914147648186,25.0,6.1114,6.125,0.0362,0.03564,0.009559999999999999,0.00764,0.0028400000000000005,0.00268,1.5469613259668642,20.083682008368193,5.633802816901422,-0.2225349347121818
2561,David West,SAS,40,14.989616666666667,599.5846666666666,5.767725,30.519,39.088,4.41,0.871,0.181,0.2647832888766335,0.05229620059218771,0.010867522740741648,26.0,5.851384615384616,5.761923076923077,0.025153846153846155,0.03411538461538462,0.004423076923076924,0.007692307692307693,0.0010769230769230769,0.0013461538461538463,-35.62691131498471,-73.91304347826086,-25.00000000000002,1.5288951990324449
2564,Boris Diaw,SAS,41,17.627756097560976,722.738,6.312585365853658,34.086,51.559,5.109,0.998,0.147,0.2544822605148754,0.04971096026499229,0.007322155469893653,37.0,6.271162162162161,6.27945945945946,0.03672972972972973,0.03548648648648649,0.007702702702702702,0.0071081081081081085,0.000945945945945946,0.0011081081081081082,3.3848417954378216,7.719298245614022,-17.14285714285714,-0.13230876642548545
2571,Leandro Barbosa,GSW,29,14.02903448275862,406.842,6.478827586206896,33.103,29.576999999999998,4.218,1.551,0.7170000000000001,0.37323580161340275,0.13724246759184155,0.06344477708791128,,,,,,,,,,,,,
2581,Steve Blake,DET,28,15.189261904761905,425.2993333333333,6.397178571428571,33.649,30.84,3.538,0.921,0.292,0.2994784849572614,0.07795920990549403,0.024716709329429154,24.0,6.558375000000001,6.364625,0.02729166666666667,0.034458333333333334,0.007541666666666666,0.008125,0.0025416666666666665,0.0022916666666666667,-26.259541984732813,-7.734806629834265,9.836065573770485,2.9542379019193095
2585,Zaza Pachulia,DAL,41,27.00239024390244,1107.098,6.039463414634146,33.951,75.445,10.66,2.343,0.473,0.3466359798319571,0.07618837718070126,0.015380752200798846,33.0,6.167969696969697,5.850727272727273,0.08751515151515152,0.04224242424242424,0.019454545454545454,0.010151515151515153,0.0038484848484848485,0.002060606060606061,51.73130193905817,47.81931464174454,46.456692913385815,5.143384935861223
2590,Mo Williams,CLE,25,21.6944,542.36,6.17424,33.133,37.693,4.966,1.568,0.591,0.3296260786193672,0.10407847186370676,0.03922855667822111,20.0,6.3168,5.8275,0.0528,0.047549999999999995,0.01495,0.01625,0.005050000000000001,0.006,9.943181818181827,-8.695652173913048,-18.811881188118797,7.746010638297873
2592,James Jones,CLE,30,9.304777777777778,279.1433333333333,6.337866666666667,34.909,19.719,2.452,0.6,0.162,0.31622463967137554,0.07737960187717183,0.020892492506836394,,,,,,,,,,,,,
